name,id
Animals,1
Buildings and Architecture,2
Business,3
Drinks,4
The Environment,5
States of Mind,6
Food,7
Graphic Resources,8
Hobbies and Leisure,9
Industry,10
Landscape,11
Lifestyle,12
People,13
Plants and Flowers,14
Culture and Religion,15
Science,16
Social Issues,17
Sports,18
Technology,19
Transport,20
Travel,21
