file_type,extension,price
image,jpg,5
image,jpeg,5
image,png,5
image,gif,5
image,webp,5
image,tif,10
image,tiff,10
vector,ai,5
vector,eps,5
vector,svg,5
vector,pdf,5
video,mp4,30
video,mov,30
video,avi,30
video,wmv,30
video,flv,30
video,mkv,30
