KEY,VALUE
States of Mind,6
Culture and Religion,15
Lifestyle,12
Science,16
Graphic Resources,8
Sports,18
Travel,21
Landscape,11
Animals,1
Business,3
Drinks,4
Hobbies and Leisure,9
Plants and Flowers,14
People,13
Social Issues,17
Technology,19
The Environment,5
Buildings and Architecture,2
Industry,10
Transport,20
,0
Food ,7
